# Native Sprite Boundary Audit

Coordinates are in the original bitmap-101 coordinate space.
A `touches` flag means the non-transparent pixels reach that crop edge.

player-yellow-00: crop=(0,0,32,32) bbox=(1,1,32,32) touches=right,bottom
player-yellow-hurt-00: crop=(128,0,32,32) bbox=(129,1,160,32) touches=right,bottom
player-green-00: crop=(0,160,32,32) bbox=(1,161,32,192) touches=right,bottom
player-green-hurt-00: crop=(128,160,32,32) bbox=(129,161,160,192) touches=right,bottom
floor-normal: crop=(288,0,96,16) bbox=(288,0,384,16) touches=left,top,right,bottom
conveyor-right-0: crop=(288,16,96,16) bbox=(288,16,384,32) touches=left,top,right,bottom
conveyor-right-1: crop=(288,32,96,16) bbox=(288,32,384,48) touches=left,top,right,bottom
conveyor-right-2: crop=(288,48,96,16) bbox=(288,48,384,64) touches=left,top,right,bottom
conveyor-right-3: crop=(288,64,96,16) bbox=(288,64,384,80) touches=left,top,right,bottom
conveyor-left-0: crop=(288,80,96,16) bbox=(288,80,384,96) touches=left,top,right,bottom
conveyor-left-1: crop=(288,96,96,16) bbox=(288,96,384,112) touches=left,top,right,bottom
conveyor-left-2: crop=(288,112,96,16) bbox=(288,112,384,128) touches=left,top,right,bottom
conveyor-left-3: crop=(288,128,96,16) bbox=(288,128,384,144) touches=left,top,right,bottom
rotating-0: crop=(288,154,96,16) bbox=(288,154,384,170) touches=left,top,right,bottom
rotating-1: crop=(288,184,96,29) bbox=(288,184,384,213) touches=left,top,right,bottom
rotating-2: crop=(288,216,96,36) bbox=(288,216,384,252) touches=left,top,right,bottom
rotating-3: crop=(288,254,96,32) bbox=(288,254,384,286) touches=left,top,right,bottom
rotating-4: crop=(288,289,96,35) bbox=(288,289,384,324) touches=left,top,right,bottom
rotating-5: crop=(288,327,96,30) bbox=(288,327,384,357) touches=left,top,right,bottom
spring-0: crop=(384,208,96,23) bbox=(384,208,480,231) touches=left,top,right,bottom
spring-1: crop=(384,232,96,21) bbox=(384,232,480,253) touches=left,top,right,bottom
spring-2: crop=(384,256,96,20) bbox=(384,256,480,276) touches=left,top,right,bottom
spring-3: crop=(384,280,96,18) bbox=(384,280,480,298) touches=left,top,right,bottom
spring-4: crop=(384,304,96,16) bbox=(384,304,480,320) touches=left,top,right,bottom
spring-5: crop=(384,328,96,14) bbox=(384,328,480,342) touches=left,top,right,bottom
spring-6: crop=(384,352,96,12) bbox=(384,352,480,364) touches=left,top,right,bottom
spike-floor: crop=(384,368,96,32) bbox=(384,369,480,400) touches=left,right,bottom
ui-pause: crop=(0,320,128,40) bbox=(0,320,128,360) touches=left,top,right,bottom
ui-floor-prefix-underground: crop=(128,320,72,32) bbox=(128,320,200,352) touches=left,top,right,bottom
ui-floor-prefix-ground: crop=(128,320,36,32) bbox=(128,320,164,352) touches=left,top,right,bottom
ui-floor-prefix-below: crop=(166,320,34,32) bbox=(166,320,200,352) touches=left,top,right,bottom
ui-floor-suffix-floor: crop=(196,320,40,32) bbox=(196,320,236,352) touches=left,top,right,bottom
ui-life-label: crop=(224,352,48,16) bbox=(224,352,269,366) touches=left,top
ui-life-bar-0: crop=(384,0,96,16) bbox=(384,0,480,16) touches=left,top,right,bottom
ui-life-bar-1: crop=(384,16,96,16) bbox=(384,16,480,32) touches=left,top,right,bottom
ui-life-bar-2: crop=(384,32,96,16) bbox=(384,32,480,48) touches=left,top,right,bottom
ui-life-bar-3: crop=(384,48,96,16) bbox=(384,48,480,64) touches=left,top,right,bottom
